PAC,"7zip","File archiver for extremely high compression"
PAC,"aerc","Email Client for your Terminal"
PAC,"alsa-utils","Advanced Linux Sound Architecture - Utilities"
PAC,"ansible","Official assortment of Ansible collections"
PAC,"antiword","A free MS Word reader for Linux and RISC OS"
PAC,"arandr","Provide a simple visual front end for XRandR 1.2."
PAC,"archlinux-keyring","Arch Linux PGP keyring"
PAC,"asciiquarium","An aquarium/sea animation in ASCII art"
PAC,"aspell-de","German dictionary for aspell"
PAC,"aspell-en","English dictionary for aspell"
PAC,"at","AT and batch delayed command scheduling utility and daemon"
PAC,"atool","A script for managing file archives of various types"
PAC,"atop","A system and process level monitor"
PAC,"autoconf","A GNU tool for automatically configuring source code"
PAC,"automake","A GNU tool for automatically creating Makefiles"
PAC,"baresip","portable and modular SIP User-Agent with audio and video support"
PAC,"base","Minimal package set to define a basic Arch Linux installation"
PAC,"base-devel","Basic tools to build Arch Linux packages"
PAC,"bashtop","Linux resource monitor"
PAC,"bat","Cat clone with syntax highlighting and git integration"
PAC,"bc","An arbitrary precision calculator language"
PAC,"bind","A complete, highly portable implementation of the DNS protocol"
PAC,"binutils","A set of programs to assemble and manipulate binary and object files"
PAC,"bison","The GNU general-purpose parser generator"
PAC,"bluetui","TUI for managing bluetooth devices"
PAC,"bluez","Daemons for the bluetooth protocol stack"
PAC,"bluez-utils","Development and debugging utilities for the bluetooth protocol stack"
PAC,"brightnessctl","Lightweight brightness control tool"
PAC,"calf","LV2 plug-in suite and standalone Jack host"
PAC,"calibre","Ebook management application"
PAC,"catdoc","A convertor for Microsoft Word, Excel, PowerPoint and RTF Files to text"
PAC,"chafa","Image-to-text converter supporting a wide range of symbols and palettes, transparency, animations, etc."
PAC,"chezmoi","Manage your dotfiles across multiple machines"
PAC,"cliphist","wayland clipboard manager"
PAC,"convmv","Tool for converting encodings on filesystems"
PAC,"cups","OpenPrinting CUPS - daemon package"
PAC,"cups-browsed","a helper daemon to browse the network for remote CUPS queues and IPP network printers"
PAC,"curlftpfs","A filesystem for acessing FTP hosts based on FUSE and libcurl."
PAC,"cython","C-Extensions for Python"
PAC,"digikam","An advanced digital photo management application"
PAC,"direnv","A shell extension that manages your environment"
PAC,"distrobox","Use any linux distribution inside your terminal."
PAC,"dnsmasq","Lightweight, easy to configure DNS forwarder and DHCP server"
PAC,"dolphin","KDE File Manager"
PAC,"dosfstools","DOS filesystem utilities"
PAC,"dunst","Customizable and lightweight notification-daemon"
PAC,"dvdbackup","Tool to rip video DVDs from the command line"
PAC,"dysk","Get information on your mounted filesystems"
PAC,"easyeffects","Audio Effects for Pipewire applications"
PAC,"efibootmgr","Linux user-space application to modify the EFI Boot Manager"
PAC,"elinks","Advanced feature-rich text-mode web browser"
PAC,"exfat-utils","Utilities for exFAT file system"
PAC,"fakeroot","Tool for simulating superuser privileges"
PAC,"fastfetch","A feature-rich and performance oriented neofetch like system information tool"
